date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:47	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Jan%202020%2012:45:46%20GMT	http://www.derayah.com/robots.txt		(from )
14:45:47	1256/1256	---M--	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:45:46%20GMT	http://www.derayah.com/	C:/My%20Web%20Sites/derayaht/www.derayah.com/index.html	(from )
14:46:02	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2018%20Jan%202020%2009:27:41%20GMT	http://www.w3.org/1999/xhtml	C:/My%20Web%20Sites/derayaht/www.w3.org/1999/xhtml.0.delayed	(from http://www.derayah.com/)
14:46:03	4251/4251	---M-Z	200	added ('OK')	text/html	etag:%2280077537338d51:3c76%22	http://www.derayah.com/Html/MobileHelpiPhone.html	C:/My%20Web%20Sites/derayaht/www.derayah.com/Html/MobileHelpiPhone.html	(from http://www.derayah.com/)
14:46:08	4271/4271	---M-Z	200	added ('OK')	text/html	etag:%2280164d8a7338d51:3c76%22	http://www.derayah.com/Html/MobileHelpAndroid.html	C:/My%20Web%20Sites/derayaht/www.derayah.com/Html/MobileHelpAndroid.html	(from http://www.derayah.com/)
14:46:18	2725/2725	---M-Z	200	added ('OK')	text/html	etag:%22aa5-53beb90aa8180;eb-4d3672e1409c0-gzip%22	http://www.w3.org/1999/xhtml/	C:/My%20Web%20Sites/derayaht/www.w3.org/1999/xhtml/index.html	(from http://www.derayah.com/)
14:46:18	96/96	---M--	200	added ('OK')	application/x-javascript	etag:%2204817d54e3cd1:3c76%22	http://www.derayah.com/Scripts/fullscreen.js	C:/My%20Web%20Sites/derayaht/www.derayah.com/Scripts/fullscreen.js	(from http://www.derayah.com/)
14:46:22	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2018%20Jan%202020%2012:46:22%20GMT	http://www.derayah.com/css/irotate.css	C:/My%20Web%20Sites/derayaht/www.derayah.com/css/irotate.4.delayed	(from http://www.derayah.com/)
14:46:23	284805/284805	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jan%202020%2012:44:15%20GMT	http://web.derayah.com/ar/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/index.html	(from http://www.derayah.com/)
14:46:24	1159/1159	---M-Z	200	added ('OK')	text/plain	etag:%22ddc-584b6a6fbfe00-gzip%22	http://www.w3.org/robots.txt		(from http://www.derayah.com/)
14:46:24	3183/3183	---M--	200	added ('OK')	application/x-javascript	etag:%223f19606b4bd0cb1:3c76%22	http://www.derayah.com/Scripts/RedirectUtil.js	C:/My%20Web%20Sites/derayaht/www.derayah.com/Scripts/RedirectUtil.js	(from http://www.derayah.com/Html/MobileHelpiPhone.html)
14:46:25	30632/30632	---M--	200	added ('OK')	text/css	etag:%2207ab2dbe2dce1:3c76%22	http://www.derayah.com/css/redirect.css	C:/My%20Web%20Sites/derayaht/www.derayah.com/css/redirect.css	(from http://www.derayah.com/Html/MobileHelpiPhone.html)
14:46:26	2380/2380	---M--	200	added ('OK')	image/png	etag:%220c45c1ce0dce1:3c76%22	http://www.derayah.com/images/chooseEN.png	C:/My%20Web%20Sites/derayaht/www.derayah.com/images/chooseEN.png	(from http://www.derayah.com/Html/MobileHelpiPhone.html)
14:46:26	16912/16912	---M--	200	added ('OK')	image/png	etag:%22a06497d0de64d21:3c76%22	http://www.derayah.com/images/header.png	C:/My%20Web%20Sites/derayaht/www.derayah.com/images/header.png	(from http://www.derayah.com/Html/MobileHelpiPhone.html)
